,twitter_handle,display_name,followers_count,following_count,acct_created
135,@DaveMacKenzieMP,Dave MacKenzie,1877,73,2012-10-22 15:05:28
136,@CandiceBergenMP,Candice Bergen,54050,2354,2012-09-19 19:30:03
137,@CanningsNDP,Richard Cannings,3524,1159,2012-09-09 23:28:29
138,@Alduceppe,Alexis Brunelle-Duceppe,4801,1773,2012-09-04 22:55:21
139,@Francis_Drouin,Francis Drouin,4561,1232,2012-08-07 15:34:37
140,@MonaFortier,Mona Fortier \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,10664,3346,2012-07-10 13:40:29
141,@sangharamesh,"Ramesh Sangha, MP",8045,1072,2012-06-04 01:58:49
142,@pfragiskatos,Peter Fragiskatos,7272,2321,2012-05-29 16:55:53
143,@JennyKwanBC,Jenny Kwan,13036,2735,2012-05-14 18:28:03
144,@LloydLongfield,Lloyd Longfield,7925,2894,2012-05-13 23:40:54
145,@MichaelKramSK,Michael Kram \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,2238,425,2012-04-27 01:50:09
146,@XBarsalouDuval,XavierBarsalouDuval,3046,837,2012-04-16 02:39:13
147,@sduvall07,Scott Duvall,2968,323,2012-03-24 23:50:40
148,@viraniarif,Arif Virani,12683,1814,2012-03-14 17:30:56
149,@SPSTremblay,Simon-Pierre Savard-Tremblay,2150,1202,2012-03-11 20:07:35
150,@ChurenceRogers,"Churence Rogers, M.P.",3325,817,2012-02-22 22:58:22
151,@MaryamMonsef,Maryam Monsef,48486,5128,2012-02-17 04:13:35
152,@L_MacAulay,Lawrence MacAulay,14649,1290,2012-02-15 21:15:08
153,@SherryRomanado,@sherryromanado,5860,1957,2012-02-10 01:13:40
154,@AnitaOakville,Anita Anand,22180,2521,2012-02-01 13:38:10
155,@_DebSchulte,Deb Schulte MP (she/her),5421,453,2012-01-29 02:38:47
156,@takovanpopta,Tako van Popta,788,176,2012-01-23 02:50:20
157,@luctheriaultbq,Luc Th\xc3\xa9riault,1638,1165,2011-12-17 09:53:26
158,@WayneLongSJ,Wayne Long,6265,284,2011-12-13 19:38:06
159,@mflalonde,MFLalonde,8540,2496,2011-11-21 01:56:57
160,@Chris_Bittle,Chris Bittle,7716,995,2011-11-20 21:40:40
161,@AlainRayes,Alain Rayes,6957,1855,2011-11-16 19:45:45
162,@HarjitSajjan,Harjit Sajjan,157842,1133,2011-11-16 08:31:55
163,@PierrePaulHus,Pierre Paul-Hus,5285,1096,2011-11-15 01:51:34
164,@DarrenFisherNS,Darren Fisher,11286,4869,2011-11-08 23:07:44
165,@juliedabrusin,Julie Dabrusin,7332,1450,2011-10-01 00:23:21
166,@Eric_Melillo,Eric Melillo,2700,993,2011-07-27 00:38:14
167,@PeterSchiefke,Peter Schiefke,5381,406,2011-07-25 18:40:10
168,@martchampoux,Martin Champoux,1518,1157,2011-07-14 15:28:08
169,@MBDan7,Dan Mazier,2122,625,2011-06-26 20:47:39
170,@marcomendicino,Marco Mendicino,74959,992,2011-06-07 16:34:41
171,@RhealFortin,Rh\xc3\xa9al Fortin,1788,326,2011-06-02 15:07:38
172,@MikeBarrettON,Michael Barrett,8971,907,2011-05-20 19:16:28
173,@erinotoole,Erin O'Toole,131910,3406,2011-05-11 00:13:01
174,@HelenaJaczek,Dr. Helena Jaczek,7306,1381,2011-04-29 20:43:57
175,@WarrenSteinley,Warren Steinley,2418,2482,2011-04-18 15:19:40
176,@RachelBendayan,Rachel Bendayan,5621,3063,2011-04-16 21:19:06
177,@ScottReidCPC,Scott Reid,8504,69,2011-04-16 19:06:24
178,@SvenTrueNorth,Sven Spengemann,8066,2238,2011-04-15 11:22:48
179,@s_guilbeault,Steven Guilbeault @ \xf0\x9f\x8f\xa1,28540,5137,2011-04-03 23:01:51
180,@LMathys,MP Lindsay Mathyssen,1787,534,2011-04-02 20:29:50
181,@markstrahl,"Mark Strahl, MP",11223,1025,2011-03-31 03:18:45
182,@Irek_K,Irek Kusmierczyk,4197,578,2011-03-30 12:44:23
183,@JackHarrisNDP,Jack Harris,10334,603,2011-03-30 00:14:10
184,@emlambropoulos,E. Lambropoulos,3174,205,2011-03-29 16:27:50
185,@DavidMcGuinty,David McGuinty,3240,174,2011-03-27 12:12:03
186,@earl_dreeshen,Earl Dreeshen,3517,137,2011-03-26 21:04:08
187,@fsorbara,Francesco Sorbara,9481,9019,2011-03-26 00:42:36
188,@bruce_stanton,Bruce Stanton MP,4936,225,2011-03-26 00:37:49
189,@Phil4Brant,Phil McColeman,4362,1009,2011-03-25 14:39:21
190,@AliceWongCanada,Alice Wong,2646,103,2011-03-24 09:37:59
191,@KirstyDuncanMP,Kirsty Duncan,36238,2153,2011-03-23 20:15:04
192,@TomLukiwski,Tom Lukiwski,135,22,2011-03-23 19:03:20
193,@JohnBarlowMP,John Barlow,7809,1341,2011-03-22 21:28:58
194,@karen_vecchio,Karen Vecchio,5788,643,2011-03-21 18:19:21
195,@LucBerthold,Luc Berthold,2966,1185,2011-03-19 15:16:25
196,@tomkmiec,Tom Kmiec,5758,769,2011-03-18 23:45:04
197,@r_garrison,Randall Garrison,6271,204,2011-03-15 23:07:31
198,@RmdKenny,Kenny Chiu,2515,1130,2011-03-08 05:51:26
199,@nouvelles_eccc,Nouvelles et \xc3\xa9v\xc3\xa9nements d\xe2\x80\x99ECCC,4157,22,2011-03-04 16:51:37
200,@SeanCaseyLPC,Sean Casey,8956,3438,2011-02-24 01:49:43
201,@Jamie_Schmale,Jamie Schmale,3694,1691,2011-02-23 15:42:08
202,@AndrewScheer,Andrew Scheer,218376,387,2011-02-23 04:52:31
203,@AMacGregor4CML,Alistair MacGregor,4086,1635,2011-02-22 16:01:55
204,@theJagmeetSingh,Jagmeet Singh,478487,1458,2011-02-17 01:38:20
205,@AlexandraBrStL,Alexandra Mendes,3803,1246,2011-02-08 16:28:40
206,@MarcDalton,Marc Dalton MP,3324,1137,2011-02-07 22:01:28
207,@JohnMcKayLib,John McKay,6917,884,2011-02-01 20:36:43
208,@DeanAllisonMP,Dean Allison,6479,379,2011-01-27 16:59:31
209,@PierrePoilievre,pierrepoilievre,150987,1066,2011-01-25 17:55:39
210,@YvonneJJones,Yvonne Jones,10789,1925,2011-01-20 18:57:12
211,@RobMoore_CPC,Rob Moore,4175,560,2011-01-12 13:58:01
212,@gagansikand,Gagan Sikand,8480,518,2011-01-10 14:00:14
213,@GarnettGenuis,Garnett Genuis,15476,3582,2011-01-07 12:08:36
214,@stbstvdan,Dan Vandal,6787,1146,2011-01-05 23:07:38
215,@NavdeepSBains,Navdeep Bains,67182,1597,2011-01-05 15:14:48
216,@KamalKheraLib,Kamal Khera,16626,2353,2010-12-31 04:55:31
217,@seblemire,S\xc3\xa9bastien Lemire,857,553,2010-11-16 20:27:21
218,@CharlieAngusNDP,Charlie Angus NDP,34826,328,2010-11-14 13:53:02
219,@GordJohns,Gord Johns,3734,1198,2010-11-06 05:59:55
220,@JoelLightbound,Jo\xc3\xabl Lightbound,4533,869,2010-10-31 18:57:40
221,@Kevin_Lamoureux,Kevin Lamoureux,4161,11,2010-10-27 21:48:54
222,@PamDamoff,Pam Damoff,13240,4416,2010-10-21 16:09:07
223,@cafreeland,Chrystia Freeland,228161,4480,2010-10-15 16:11:28
224,@ScarpaleggiaLSL,Francis Scarpaleggia,2971,538,2010-10-08 13:06:56
225,@alexboulerice,Alexandre Boulerice,24759,22181,2010-09-29 19:10:02
226,@karenmccrimmon,Karen McCrimmon,7489,2618,2010-09-18 20:18:47
227,@bobzimmermp,Bob Zimmer MP,6976,641,2010-08-08 22:09:49
228,@taylorbachrach,Taylor Bachrach,3163,1246,2010-08-06 03:17:24
229,@ScottAAitchison,MP Scott Aitchison,2862,2391,2010-07-28 17:55:32
230,@Scott_Simms,Scott Simms,7301,1868,2010-07-28 16:37:10
231,@TerryDuguid,Terry Duguid,5125,1341,2010-07-26 16:01:10
232,@AnthonyRota,Anthony Rota,3818,243,2010-07-24 17:28:03
233,@stevenmackinnon,"Steven MacKinnon, d\xc3\xa9put\xc3\xa9",4693,1760,2010-07-12 16:13:29
234,@Mario_Beaulieu,Mario Beaulieu,6883,2691,2010-07-01 17:30:09
235,@MarcSerreMP,Marc G. Serr\xc3\xa9,4964,1900,2010-06-26 00:22:29
